animal,I tire of this one I mean I tire of this one all these animal let do this one tell me what this one be about,1,['1646']
animal,the animal they all go away,1,['2359']
animal,what be all these animal name,1,['23418']
animal,animal can smell thing that you can smell sometimes they can tell where man and other animal be watch a dog sniff in the wind,1,['23877']
animal,now let put all the animal here,1,['23492']
animal,okay to make sure that it be not a poisonous snake she go to the zoo they identify it as a boa constrictor so she call her animal Cricter,1,['9256']
animal,do it have animal in it,1,['19943']
animal,like what animal,1,['17330']
animal,look at all these animal what do they have with them,1,['5455']
animal,okay but first you have_to decide where you want all the animal to be around the table and then you hafta put them there,1,['23397']
animal,another what another animal,1,['17736']
animal,that why there all these jungle animal look at all these little kid in this bus they not sit down in their seat they all stand up do you know who this be,1,['5623']
animal,what kind of animal be that,1,['4926']
animal,oh I say you hafta put all these animal up next_to the table,1,['23659']
animal,which animal,1,['17314']
animal,first let get all the animal around the table okay,1,['23335']
animal,and a_lot_of the animal do have any water to drink,1,['12379']
clothes,he tell Nurse Nelly he be go to put on his operate clothes,1,['16976']
clothes,have some clothes,1,['21872']
clothes,those be call clothes,1,['13173']
clothes,to iron the clothes with,1,['4670']
clothes,so let me put a diaper on my shoulder so I can take Ana so all my clothes will be spit up on hi,1,['8505']
clothes,there be clothes in his umbrella that can make Dudley look like anything,1,['8727']
clothes,yeah those be my clothes right,1,['5265']
clothes,clothes on the vacuum clean,1,['16678']
clothes,where do you put clothes,1,['1926']
clothes,the king be in his count house count out his money the queen be in the parlor eat bread and honey the maid be in the garden hang out the clothes there come a little and snip off her nose,1,['24081']
clothes,see there some more of them these be all my clothes,1,['5280']
clothes,this be another clothes see it just like this shirt,1,['5300']
clothes,you hit person with the clothes,1,['202']
clothes,sometimes I a little lady and put on long clothes big shoe with high heel I walk on my toe,1,['6449']
clothes,well no I wanna keep my clothes on,1,['7395']
clothes,yeah that another clown that a clown get dress see put on the clothes there she put on the shoe,1,['2131']
clothes,here maybe we should give mommy these clothes,1,['1914']
clothes,where do you put the dirt clothes,1,['1942']
clothes,clothes,1,['5627']
clothes,do mother goat buy fun clothes wear overcoat tugboat,1,['13133']
clothes,most person like to keep their clothes on in fact mommy do too but when they have_to feed their baby they have no choice,1,['7424']
clothes,hang up the clothes,1,['2176']
clothes,okay let go look for it you already have all your clothes on so we do have_to get dress right,1,['1864']
clothes,Shem that the dirt clothes,1,['13641']
clothes,yeah big boy wear those kind of clothes these be long pant and jacket like daddy daddy wear them too,1,['13230']
clothes,why be the clothes blow by,1,['23151']
clothes,here you can carry them Shem we can ask mommy where we should put the clothes,1,['2024']
clothes,no put the clothes back in the dirt clothes Shem,1,['13719']
clothes,my little brother use to do this when he be two he always want me to take my clothes off,1,['7223']
clothes,now you can button it you do have any button on your clothes wanna see the dog,1,['3368']
clothes,you be get to mow the rug with the clothes basket,1,['13946']
clothes,you wanna put your dirty clothes away,1,['1956']
clothes,do you keep them on the clothes,1,['58']
food,why do she have food on her hat,1,['24213']
food,it a toy apple it a fake apple so she not steal any real food,2,"['5737', '5737']"
food,look it it have food on it,1,['16977']
food,where the food for dinner,1,['21313']
food,oh that what I mean that what I think it be call the co_op that the the place where you get your food the grocery place,1,['21742']
food,it look like a little rabbit food,1,['12539']
food,what kind of food be we gonna have,1,['21234']
food,first they buy food to eat and clothes to wear,2,"['16619', '16619']"
food,you buy food,2,"['573', '6437']"
food,she smile it because she get food,1,['4009']
food,cat eat food,1,['2140']
food,do you think he buy food,1,['7956']
